device_name,logical_name,item,stats_type,value,och,center_frequency,och_group,time,side,pn
T2,/1/1/L1,preFecBer,max,5.47E-05,3,191800000,1,2000/1/1 04:00,A,ot1
T2,/1/1/L1,preFecBer,min,4.94E-05,3,191800000,1,2000/1/1 04:00,A,ot1
T3,/1/2/L1,preFecBer,avg,0.00084,6,191500000,2,2000/1/1 04:00,A,ot1
T3,/1/4/L1,preFecBer,avg,0.001,4,191700000,2,2000/1/1 04:00,A,ot1
T3,/1/6/L1,preFecBer,avg,0.0006,5,191900000,2,2000/1/1 04:00,A,ot1
T3,/1/2/L1,preFecBer,instant,0.000829,6,191500000,2,2000/1/1 04:00,A,ot1
T3,/1/4/L1,preFecBer,instant,0.001,4,191700000,2,2000/1/1 04:00,A,ot1
T3,/1/6/L1,preFecBer,instant,0.00059,5,191900000,2,2000/1/1 04:00,A,ot1
T3,/1/2/L1,preFecBer,max,0.000884,6,191500000,2,2000/1/1 04:00,A,ot1
T3,/1/4/L1,preFecBer,max,0.00104,4,191700000,2,2000/1/1 04:00,A,ot1
T3,/1/6/L1,preFecBer,max,0.000618,5,191900000,2,2000/1/1 04:00,A,ot1
T3,/1/2/L1,preFecBer,min,0.000804,6,191500000,2,2000/1/1 04:00,A,ot1
T3,/1/4/L1,preFecBer,min,0.00095,4,191700000,2,2000/1/1 04:00,A,ot1
T3,/1/6/L1,preFecBer,min,0.000576,5,191900000,2,2000/1/1 04:00,A,ot1
T3,/1/1/L1,preFecBer,avg,0.00187,1,191400000,1,2000/1/1 05:00,Z,ot1
T3,/1/3/L1,preFecBer,avg,0.00231,2,191600000,1,2000/1/1 05:00,Z,ot1
T3,/1/5/L1,preFecBer,avg,0.0027,3,191800000,1,2000/1/1 05:00,Z,ot1
T3,/1/1/L1,preFecBer,instant,0.00184,1,191400000,1,2000/1/1 05:00,Z,ot1
T3,/1/3/L1,preFecBer,instant,0.00228,2,191600000,1,2000/1/1 05:00,Z,ot1
T3,/1/5/L1,preFecBer,instant,0.00271,3,191800000,1,2000/1/1 05:00,Z,ot1
T3,/1/1/L1,preFecBer,max,0.00194,1,191400000,1,2000/1/1 05:00,Z,ot1
T3,/1/3/L1,preFecBer,max,0.00238,2,191600000,1,2000/1/1 05:00,Z,ot1
T3,/1/5/L1,preFecBer,max,0.0028,3,191800000,1,2000/1/1 05:00,Z,ot1
T3,/1/1/L1,preFecBer,min,0.00182,1,191400000,1,2000/1/1 05:00,Z,ot1
T3,/1/3/L1,preFecBer,min,0.00224,2,191600000,1,2000/1/1 05:00,Z,ot1
T3,/1/5/L1,preFecBer,min,0.00259,3,191800000,1,2000/1/1 05:00,Z,ot1
T4,/1/1/L1,preFecBer,avg,2.60E-05,6,191500000,2,2000/1/1 05:00,Z,ot1
T4,/1/2/L1,preFecBer,avg,2.84E-05,4,191700000,2,2000/1/1 05:00,Z,ot1
T4,/1/3/L1,preFecBer,avg,1.83E-05,5,191900000,2,2000/1/1 05:00,Z,ot1
T4,/1/1/L1,preFecBer,instant,2.65E-05,6,191500000,2,2000/1/1 05:00,Z,ot1
T4,/1/2/L1,preFecBer,instant,2.87E-05,4,191700000,2,2000/1/1 05:00,Z,ot1
T4,/1/3/L1,preFecBer,instant,1.79E-05,5,191900000,2,2000/1/1 05:00,Z,ot1
T4,/1/1/L1,preFecBer,max,2.71E-05,6,191500000,2,2000/1/1 05:00,Z,ot1
T4,/1/2/L1,preFecBer,max,2.97E-05,4,191700000,2,2000/1/1 05:00,Z,ot1
T4,/1/3/L1,preFecBer,max,1.96E-05,5,191900000,2,2000/1/1 05:00,Z,ot1
T4,/1/1/L1,preFecBer,min,2.48E-05,6,191500000,2,2000/1/1 05:00,Z,ot1
T4,/1/2/L1,preFecBer,min,2.75E-05,4,191700000,2,2000/1/1 05:00,Z,ot1
T4,/1/3/L1,preFecBer,min,1.72E-05,5,191900000,2,2000/1/1 05:00,Z,ot1
T1,/1/4/L1,preFecBer,avg,5.64E-05,2,191600000,1,2000/1/1 05:00,A,ot1
T1,/1/6/L1,preFecBer,avg,6.18E-05,1,191400000,1,2000/1/1 05:00,A,ot1
T1,/1/4/L1,preFecBer,instant,5.56E-05,2,191600000,1,2000/1/1 05:00,A,ot1
T1,/1/6/L1,preFecBer,instant,6.27E-05,1,191400000,1,2000/1/1 05:00,A,ot1
T1,/1/4/L1,preFecBer,max,5.84E-05,2,191600000,1,2000/1/1 05:00,A,ot1
T1,/1/6/L1,preFecBer,max,6.35E-05,1,191400000,1,2000/1/1 05:00,A,ot1
